Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Franchise,Console_Company
3766,Action Force,2600,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54,80s,Other,Atari
3075,Adventures of Tron,2600,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67,80s,Other,Atari
2697,Air Raid,2600,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77,80s,Other,Atari
5027,Airlock,2600,1981,Action,Data Age,0.36,0.02,0,0,0.39,80s,Other,Atari
2625,Alien,2600,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79,80s,Other,Atari
5445,Alien's Return,2600,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34,80s,Other,Atari
8565,Armor Ambush,2600,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17,80s,Other,Atari
7246,Assault,2600,1982,Action,Bomb,0.21,0.01,0,0,0.22,80s,Other,Atari
270,Asteroids,2600,1980,Shooter,Atari,4,0.26,0,0.05,4.31,80s,Other,Atari
5883,Astroblast,2600,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31,80s,Other,Atari
1580,Atlantis,2600,1981,Shooter,Imagic,1.18,0.08,0,0.01,1.27,80s,Other,Atari
5465,Bank Heist,2600,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,80s,Other,Atari
4580,Barnstorming,2600,1981,Action,Activision,0.4,0.02,0,0,0.43,80s,Other,Atari
3284,Battlezone,2600,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62,80s,Other,Atari
6374,Beamrider,2600,1984,Racing,Activision,0.26,0.01,0,0,0.27,80s,Other,Atari
2851,Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73,80s,Other,Atari
2701,Boxing,2600,1980,Fighting,Activision,0.72,0.04,0,0.01,0.77,80s,Other,Atari
6393,Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0,0.27,80s,Other,Atari
4960,Bump 'n' Jump,2600,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39,80s,Other,Atari
3448,BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59,80s,Other,Atari
5468,Carnival,2600,1981,Shooter,Coleco,0.32,0.02,0,0,0.34,80s,Other,Atari
1452,Centipede,2600,1981,Shooter,Atari,1.26,0.08,0,0.01,1.36,80s,Other,Atari
6978,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,80s,Other,Atari
4022,Chopper Command,2600,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5,80s,Other,Atari
4239,Commando,2600,1987,Action,Activision,0.44,0.02,0,0,0.47,80s,Other,Atari
4857,Congo Bongo,2600,1982,Action,Sega,0.37,0.02,0,0,0.4,80s,Other,Atari
1994,Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05,80s,Other,Atari
7279,Crazy Climber,2600,1981,Action,Atari,0.21,0.01,0,0,0.22,80s,Other,Atari
2709,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0,0.01,0.77,80s,Other,Atari
2555,Custer's Revenge,2600,1981,Action,Mystique,0.76,0.05,0,0.01,0.82,80s,Other,Atari
7032,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,80s,Other,Atari
7248,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22,80s,Other,Atari
8564,Death Trap,2600,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17,80s,Other,Atari
1999,Defender,2600,1980,Misc,Atari,0.99,0.05,0,0.01,1.05,80s,Other,Atari
4427,Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45,80s,Other,Atari
792,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02,2.13,80s,Other,Atari
6659,Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0,0,0.26,80s,Other,Atari
1139,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64,80s,Other,Atari
6073,Dolphin,2600,1983,Action,Activision,0.27,0.02,0,0,0.29,80s,Other,Atari
1326,Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0,0.02,1.46,80s,Donkey Kong,Atari
2177,Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,80s,Donkey Kong,Atari
4195,Double Dragon,2600,1989,Action,Activision,0.45,0.02,0,0.01,0.47,80s,Other,Atari
5189,Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0,0,0.37,80s,Other,Atari
885,E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.84,0.11,0,0.02,1.97,80s,Other,Atari
2443,Enduro,2600,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87,80s,Other,Atari
5456,Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34,80s,Other,Atari
6083,Fast Food,2600,1981,Action,Unknown,0.27,0.02,0,0,0.29,80s,Other,Atari
5613,Fireball,2600,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33,80s,Other,Atari
5724,Frankenstein's Monster,2600,1982,Action,Data Age,0.3,0.02,0,0,0.32,80s,Other,Atari
5430,Freeway,2600,1980,Action,Activision,0.32,0.02,0,0,0.34,80s,Other,Atari
757,Frogger,2600,1981,Action,Parker Bros.,2.06,0.12,0,0.02,2.2,80s,Other,Atari
5610,Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.,0.31,0.02,0,0,0.33,80s,Other,Atari
5306,Frogs And Flies,2600,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36,80s,Other,Atari
6947,Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24,80s,Other,Atari
5446,Frostbite,2600,1983,Action,Activision,0.32,0.02,0,0,0.34,80s,Other,Atari
2691,Galaxian,2600,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77,80s,Other,Atari
4072,Gauntlet,2600,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5,80s,Other,Atari
4366,Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,80s,Other,Atari
4190,Grand Prix,2600,1981,Racing,Activision,0.45,0.03,0,0,0.48,80s,Other,Atari
5129,Gravitar,2600,1982,Action,Atari,0.35,0.02,0,0,0.38,80s,Other,Atari
4320,Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0,0.46,80s,Other,Atari
3302,Halloween,2600,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62,80s,Other,Atari
4087,Ice Hockey,2600,1980,Sports,Activision,0.46,0.03,0,0.01,0.49,80s,Other,Atari
7996,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19,80s,Other,Atari
4437,Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45,80s,Other,Atari
1932,Joust,2600,1982,Platform,Atari,1.01,0.06,0,0.01,1.08,80s,Other,Atari
2685,Jr. Pac-Man,2600,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78,80s,Other,Atari
1879,Jungle Hunt,2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1,80s,Other,Atari
1798,Kaboom!,2600,1980,Misc,Activision,1.07,0.07,0,0.01,1.15,80s,Other,Atari
2893,Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0,0.01,0.72,80s,Other,Atari
3124,Keystone Kapers,2600,1982,Action,Activision,0.62,0.04,0,0.01,0.66,80s,Other,Atari
2980,King Kong,2600,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69,80s,Other,Atari
8870,Klax,2600,1989,Puzzle,Atari,0.14,0.01,0,0,0.15,80s,Other,Atari
9226,Krull,2600,1982,Action,Atari,0.13,0.01,0,0,0.14,80s,Other,Atari
3165,Kung-Fu Master,2600,1987,Action,Activision,0.6,0.04,0,0.01,0.65,80s,Other,Atari
4973,Laser Blast,2600,1981,Action,Activision,0.37,0.02,0,0,0.39,80s,Other,Atari
1184,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0,0.02,1.59,80s,Mario Brothers,Atari
1877,Megamania,2600,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1,80s,Other,Atari
4004,Midnight Magic,2600,1983,Action,Atari,0.47,0.03,0,0.01,0.5,80s,Other,Atari
4148,Millipede,2600,1983,Shooter,Atari,0.45,0.03,0,0.01,0.48,80s,Other,Atari
